sbd_id,end_date,model_name,stop_reason,cost_usd,cost_usd_specialist,cost_usd_orchestration,cost_usd_critic,cost_usd_robustness,ledger_rows,real_requests,dup_pct,variants_tested,explore_rounds,explore_keeps,specialist_runs,specialist_runs_empty,specialist_proposals,cost_usd_enablement
99607,2026-08-12,Qwen3-8B,global_converged,180.87,167.19,12.38,1.12,0.19,138,137,0.7,4,3,0,15,4,15,0.0
99619,2026-08-12,gpt-oss-120b,global_converged,60.9,37.74,21.8,1.22,0.14,1213,561,53.8,42,12,4,18,1,85,0.0
99622,2026-08-12,gpt-oss-120b,global_converged,93.85,76.25,15.8,1.6,0.21,155,154,0.6,12,10,4,18,4,38,0.0
99628,2026-08-12,Qwen-Image,global_converged,80.71,64.74,15.47,0.49,0.03,1005,443,55.9,28,3,2,14,0,73,0.0
99633,2026-08-12,GLM-5.2-MXFP4,time_exhausted,92.52,24.74,64.8,0.47,2.51,1656,1184,28.5,0,0,0,5,2,12,24.74
99636,2026-08-12,Qwen3-14B-FP8,global_converged,53.11,42.7,9.1,1.18,0.13,683,316,53.7,7,4,0,11,1,29,0.0
99666,2026-08-12,gemma-4-26B-A4B-it,global_converged,60.88,43.12,16.73,0.93,0.1,1174,552,53.0,18,5,1,17,3,71,2.74
99668,2026-08-12,Qwen3-0.6B,global_converged,365.17,353.16,10.81,1.06,0.14,117,116,0.9,6,5,2,13,3,19,0.0
99669,2026-08-12,Qwen3-14B-FP8,conc_sweep_failed,41.61,3.39,38.01,0.12,0.09,511,352,31.1,0,0,0,2,0,10,0.0
99671,2026-08-12,Z-Image-Turbo,global_converged,69.99,52.49,16.85,0.63,0.03,972,467,52.0,31,4,2,12,1,44,0.0
99673,2026-08-12,DeepSeek-V4-Flash-0731,global_converged,46.67,28.84,17.1,0.62,0.1,806,367,54.5,21,9,1,14,0,59,0.0
99674,2026-08-12,DeepSeek-V4-Flash-0731,global_converged,80.05,67.11,12.02,0.86,0.06,1184,620,47.6,15,3,1,11,0,53,0.0
99676,2026-08-12,ERNIE-Image-Turbo,global_converged,41.57,28.13,12.9,0.54,0.0,675,318,52.9,21,3,3,10,2,38,0.0
99679,2026-08-12,Nucleus-Image,global_converged,97.98,82.66,14.57,0.74,0.01,1415,663,53.1,0,1,0,15,3,54,0.0
99681,2026-08-12,Qwen3-8B,global_converged,48.49,36.26,11.28,0.88,0.08,870,474,45.5,18,3,1,10,1,48,0.0
99682,2026-08-12,Llama-3.1-8B-Instruct,global_converged,30.6,19.17,10.64,0.74,0.05,430,222,48.4,13,2,0,5,0,22,0.0
99683,2026-08-12,gemma-4-26B-A4B-it,global_converged,63.37,44.31,18.05,0.9,0.12,1596,651,59.2,40,7,5,22,1,103,11.01
99684,2026-08-12,FLUX.1-schnell,global_converged,80.41,60.39,18.98,1.01,0.03,1363,616,54.8,33,5,0,25,6,102,0.0
99686,2026-08-12,SD-3.5-large,global_converged,94.41,69.44,23.95,0.99,0.03,1653,784,52.6,22,6,4,22,2,105,18.06
99689,2026-08-12,FLUX.1-dev,global_converged,142.88,116.58,25.15,1.1,0.04,2333,1004,57.0,26,5,3,37,16,98,10.35
99693,2026-08-12,MiniMax-M3-MXFP4,conc_sweep_done,31.29,14.23,16.44,0.63,0.0,440,247,43.9,0,0,0,4,0,19,5.98
99695,2026-08-12,Qwen3.5-397B-A17B-MXFP4,conc_sweep_done,28.01,25.45,1.96,0.51,0.09,42,42,0.0,7,3,2,7,0,15,0.0
99697,2026-08-12,Qwen3-14B-FP8,conc_sweep_failed,42.52,21.12,20.27,0.83,0.3,813,445,45.3,15,3,2,7,0,28,10.8
